City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,touros,-5.1989,-35.4608,26.65,82,39,4.6,BR,1707364434
161,avarua,-21.2078,-159.775,28.03,74,40,8.75,CK,1707364498
162,igarka,67.4667,86.5833,-21.01,99,96,2.37,RU,1707364532
163,qaqortoq,60.7167,-46.0333,-6.58,81,100,2.11,GL,1707364532
164,papatowai,-46.5619,169.4708,13.65,74,25,8.21,NZ,1707364532
165,naze,28.3667,129.4833,12.51,77,100,5.79,JP,1707364533
166,shingu,33.7333,135.9833,11.17,48,63,2.24,JP,1707364533
167,fort bragg,35.139,-79.006,4.33,71,0,0.0,US,1707364533
168,cascais,38.6979,-9.4215,16.7,91,100,6.71,PT,1707364533
169,leticia,-4.2153,-69.9406,25.03,94,40,0.0,CO,1707364533
170,isafjordur,66.0755,-23.124,-8.23,73,1,1.68,IS,1707364533
171,dalbandin,28.8947,64.4101,13.08,23,0,2.06,PK,1707364533
172,uturoa,-16.7333,-151.4333,28.57,84,81,11.6,PF,1707364499
173,xinghua,32.9392,119.8342,5.06,50,87,3.13,CN,1707364534
174,zhezqazghan,47.7833,67.7667,-8.68,86,75,11.0,KZ,1707364534
175,drawsko pomorskie,53.5306,15.8097,-2.01,93,97,0.89,PL,1707364534
176,taro,-8.3862,115.28,26.03,55,24,1.25,ID,1707364534
177,sao felix do xingu,-6.6447,-51.995,22.99,96,56,0.29,BR,1707364534
178,crane,31.3974,-102.3501,12.82,46,43,3.58,US,1707364534
179,bandar lampung,-5.4254,105.258,31.17,59,77,0.62,ID,1707364534
180,tura,25.5198,90.2201,19.82,27,0,1.86,IN,1707364517
181,gavarr,40.354,45.1239,-2.59,83,72,4.05,AM,1707364534
182,espanola,35.9911,-106.0806,3.31,61,92,0.89,US,1707364535
183,skagen,57.7209,10.5839,1.08,88,100,4.58,DK,1707364535
184,rundu,-17.9333,19.7667,19.21,88,97,2.19,NA,1707364535
185,cuichapa,18.7667,-96.8667,16.23,83,0,1.33,MX,1707364535
186,mossel bay,-34.1831,22.146,19.96,83,55,3.72,ZA,1707364535
187,pasuquin,18.3328,120.6177,28.97,70,20,2.57,PH,1707364535
188,badger,64.8,-147.5333,-18.9,84,40,1.54,US,1707364521
189,stepnogorsk,52.3544,71.8869,-6.02,89,100,12.12,KZ,1707364535
190,jamestown,42.097,-79.2353,2.8,66,0,2.06,US,1707364536
191,rawson,-43.3002,-65.1023,19.77,33,91,4.3,AR,1707364536
192,callao,-12.0667,-77.15,27.62,69,0,6.17,PE,1707364450
193,port augusta,-32.5,137.7667,30.81,21,1,6.14,AU,1707364536
194,bijapur,16.8333,75.7,26.93,34,6,5.4,IN,1707364536
195,port alfred,-33.5906,26.891,16.21,89,6,1.34,ZA,1707364536
196,hithadhoo,-0.6,73.0833,27.69,76,85,3.78,MV,1707364537
197,sinjai,-5.1241,120.253,29.95,66,99,0.83,ID,1707364537
198,taguatinga,-12.3857,-46.5711,23.22,88,95,1.19,BR,1707364537
199,veranopolis,-28.9361,-51.5494,16.87,96,51,0.9,BR,1707364537
200,rio grande,-32.035,-52.0986,22.75,84,45,6.04,BR,1707364537
201,korla,41.7597,86.1469,-3.0,75,11,2.9,CN,1707364537
202,kavaratti,10.5669,72.642,27.94,72,96,2.28,IN,1707364537
203,lihue,21.9789,-159.3672,26.58,73,100,6.69,US,1707364503
204,las toscas,-28.3529,-59.258,26.86,66,47,4.03,AR,1707364538
205,timimoun,29.2639,0.231,7.21,31,0,2.57,DZ,1707364538
206,ohara,35.25,140.3833,8.92,64,86,3.98,JP,1707364538
207,afaahiti,-17.75,-149.2833,26.93,89,100,15.01,PF,1707364538
208,hang dong,18.687,98.9194,32.03,40,0,0.7,TH,1707364538
209,grand-bassam,5.2118,-3.7388,24.98,78,14,1.95,CI,1707364538
210,ormara,25.2088,64.6357,22.22,46,97,4.18,PK,1707364538
211,general pinedo,-27.3167,-61.2833,29.99,64,22,1.79,AR,1707364538
212,peniche,39.3558,-9.3811,16.73,80,100,11.21,PT,1707364538
213,kichmengskiy gorodok,59.9816,45.7854,-17.25,97,100,2.24,RU,1707364539
214,talnakh,69.4865,88.3972,-25.71,89,24,1.89,RU,1707364539
215,carnarvon,-24.8667,113.6333,32.75,42,0,3.28,AU,1707364539
216,arteche,12.2645,125.4048,26.28,81,53,3.16,PH,1707364539
217,scottburgh,-30.2867,30.7532,22.22,83,100,3.29,ZA,1707364539
218,ciudad lazaro cardenas,17.9583,-102.2,24.05,82,17,2.15,MX,1707364372
219,puerto aysen,-45.4,-72.7,9.9,93,100,2.47,CL,1707364539
220,bangassou,4.7413,22.8184,18.53,43,70,1.31,CF,1707364539
221,college,64.8569,-147.8028,-18.85,84,40,1.54,US,1707364540
222,dhemaji,27.4833,94.5833,14.04,83,100,2.79,IN,1707364540
